dataname	id	macF1	micF1	k1	kacc	knmi	sim	lambd0	lambd1	lambd2	w_loss1	w_loss2
dblp	1	0.5561+	0.5376+	0.4033865458604115,std:0.128260738	 macro_f1s:0.5560843575402623,std:0.01591555362004419, micro_f1s:0.5376425855513308,std:0.022254131342659907,k1:0.4033865458604115,std:0.1282607385799577	 macro_f1s:0.556084	 macro_f1s:0.5560843575402623	0.0001	0.0001	0.0001	0.1	0.1
dblp	2	0.4803+	0.4755+	0.19667820932401306,std:0.149317284	 macro_f1s:0.4803118475813502,std:0.028950454055035352, micro_f1s:0.47548184082863515,std:0.019240893945950167,k1:0.19667820932401306,std:0.1493172845340254	 macro_f1s:0.480311	 macro_f1s:0.4803118475813502	0.0001	0.0001	0.0001	0.1	0.1
dblp	3	0.3817+	0.3925+	0.17738706232461598,std:0.147989276	 macro_f1s:0.3817071953977572,std:0.04462786287698242, micro_f1s:0.3924872164678117,std:0.041829585133171185,k1:0.17738706232461598,std:0.1479892764399684	 macro_f1s:0.381707	 macro_f1s:0.3817071953977572	0.0001	0.0001	0.0001	0.1	0.1
dblp	4	0.4138+	0.4252+	0.14835658625329737,std:0.149995256	 macro_f1s:0.4138386245770535,std:0.03145248480534586, micro_f1s:0.4251868362396748,std:0.022769598371907427,k1:0.14835658625329737,std:0.1499952566014072	 macro_f1s:0.413838	 macro_f1s:0.4138386245770535	0.0001	0.0001	0.0001	0.1	0.1
dblp	5	0.4684+	0.4773+	0.19759767110641432,std:0.147504487	 macro_f1s:0.468431581486729,std:0.040054895038144564, micro_f1s:0.47726497967746156,std:0.029842081805247608,k1:0.19759767110641432,std:0.1475044878006367	 macro_f1s:0.468431	 macro_f1s:0.468431581486729,	0.0001	0.0001	0.0001	0.1	0.1
dblp	6	0.4298+	0.4435+	0.18800568471902776,std:0.148677242	 macro_f1s:0.4298476077523109,std:0.040135655665243165, micro_f1s:0.44352956601547133,std:0.034195948564370686,k1:0.18800568471902776,std:0.1486772422704454	 macro_f1s:0.429847	 macro_f1s:0.4298476077523109	0.0001	0.0001	0.0001	0.1	0.1
dblp	7	0.5362+	0.5239+	0.21088454197808257,std:0.151752998	 macro_f1s:0.5361538243683119,std:0.02274990974314531, micro_f1s:0.5239281499934444,std:0.01838690734904297,k1:0.21088454197808257,std:0.1517529981136079	 macro_f1s:0.536153	 macro_f1s:0.5361538243683119	0.0001	0.0001	0.0001	0.1	0.1
dblp	8	0.6425+	0.6424+	0.3730060599349098,std:0.141715589	 macro_f1s:0.6425087066488623,std:0.0265834422981068, micro_f1s:0.6423757702897601,std:0.026200935040052498,k1:0.3730060599349098,std:0.1417155899769239	 macro_f1s:0.642508	 macro_f1s:0.6425087066488623	0.0001	0.0001	0.0001	0.1	0.1
dblp	9	0.7451+	0.7443+	0.5045012316970042,std:0.137273907	 macro_f1s:0.7450948421697333,std:0.013588494928996291, micro_f1s:0.7442637996591058,std:0.012435617524922365,k1:0.5045012316970042,std:0.1372739079457617	 macro_f1s:0.745094	 macro_f1s:0.7450948421697333	0.0001	0.0001	0.0001	0.1	0.1
dblp	10	0.3528+	0.3518+	0.14680310966297877,std:0.150851454	 macro_f1s:0.3528345075967293,std:0.01803491938608671, micro_f1s:0.35177658319129407,std:0.024685093187494265,k1:0.14680310966297877,std:0.1508514549281605	 macro_f1s:0.352834	 macro_f1s:0.3528345075967293	0.0001	0.0001	0.0001	0.1	0.1
